100.8.0.0
Zoom Extent; Number; 0;
13;GeocacheBasis;13;13
14;GeocacheBasis;5;5
Sum tiles between LoD 12 -> 14:;;;20
Duration drawing:;;;00:00:01.433827

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;1;1
Sum tiles between LoD 12 -> 12:;;;1
Duration drawing:;;;00:00:01.098642

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;2;2
Sum tiles between LoD 9 -> 9:;;;2
Duration drawing:;;;00:00:02.117258

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;1;1
10;GeocacheBasis;3;3
12;GeocacheBasis;7;7
13;GeocacheBasis;15;15
15;GeocacheBasis;5;5
Sum tiles between LoD 9 -> 15:;;;31
Duration drawing:;;;00:00:03.743003

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:01.102721

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;1;1
14;GeocacheBasis;1;1
Sum tiles between LoD 13 -> 14:;;;2
Duration drawing:;;;00:00:01.400429

