100.8.0.0
Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:01.117285

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:02.123963

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;3;3
12;GeocacheBasis;1;1
14;GeocacheBasis;28;28
Sum tiles between LoD 11 -> 14:;;;32
Duration drawing:;;;00:00:03.771247

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:01.111867

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:01.237971

